timestamp,voltage,current,temperature,humidity,transistor1_state,transistor2_state
2024-10-10 11:09:44,5.12,12.3,26,11,0,0
2024-10-10 11:09:46,5.12,12.3,26.2,11,0,0
2024-10-10 11:09:49,5.12,12.6,26,11,0,0
2024-10-10 11:09:52,5.12,12.5,26,10,0,0
2024-10-10 11:09:54,5.12,12.2,26,10,0,0
2024-10-10 11:09:57,5.12,12.4,26,11,0,0
2024-10-10 11:09:59,5.12,12.5,26.2,10,0,0
2024-10-10 11:10:02,5.12,12.4,25.9,10,0,0
2024-10-10 11:10:03,5.12,12.4,25.9,10,0,0
2024-10-10 11:10:06,5.12,12.6,26.2,10,0,0
2024-10-10 11:10:08,5.12,12.1,26,10,0,0
2024-10-10 11:10:09,5.12,12.2,26,10,0,0
2024-10-10 11:10:12,5.12,12.5,25.9,10,0,0
2024-10-10 11:10:14,5.12,12.6,25.9,10,0,0
2024-10-10 11:10:17,5.12,12.5,25.8,10,0,0
2024-10-10 11:10:19,5.12,12.5,25.9,10,0,0
2024-10-10 11:10:20,5.12,12.6,25.9,10,0,0
2024-10-10 11:10:21,5.12,12.3,25.8,10,0,0
2024-10-10 11:10:23,5.12,12.6,25.8,10,0,0
2024-10-10 11:10:25,5.12,12.6,25.8,10,0,0
2024-10-10 11:10:28,5.12,12.7,25.8,10,0,0
2024-10-10 11:10:30,5.12,12.5,25.6,10,0,0
2024-10-10 11:10:32,5.12,12.7,25.7,10,0,0
2024-10-10 11:10:35,5.12,12.5,25.8,10,0,0
2024-10-10 11:10:36,5.12,12.7,25.8,10,0,0
2024-10-10 11:10:38,5.12,12.5,25.8,10,0,0
2024-10-10 11:10:41,5.12,12.8,25.7,10,0,0
2024-10-10 11:10:43,5.12,12.9,25.8,10,0,0
2024-10-10 11:10:46,5.12,12.7,25.8,10,0,0
2024-10-10 11:10:48,5.12,12.5,25.8,10,0,0
2024-10-10 11:10:49,5.12,12.8,25.8,10,0,0
2024-10-10 11:10:52,5.12,12.7,25.7,10,0,0
2024-10-10 11:10:53,5.12,12.6,25.7,10,0,0
2024-10-10 11:10:55,5.12,12.8,25.6,10,0,0
2024-10-10 11:10:58,5.12,12.7,25.6,10,0,0
2024-10-10 11:10:59,5.12,12.8,25.6,10,0,0
2024-10-10 11:11:01,5.12,12.8,25.6,10,0,0
2024-10-10 11:11:04,5.12,12.7,25.6,10,0,0
2024-10-10 11:11:05,5.12,12.6,25.6,10,0,0
2024-10-10 11:11:08,5.12,12.7,25.6,10,0,0
2024-10-10 11:11:10,5.12,12.9,25.6,10,0,0
2024-10-10 11:11:11,5.12,12.7,25.6,10,0,0
2024-10-10 11:11:14,5.12,12.8,25.6,10,0,0
2024-10-10 11:11:17,5.12,12.7,25.6,10,0,0
2024-10-10 11:11:18,5.12,12.5,25.6,10,0,0
2024-10-10 11:11:20,5.12,12.7,25.7,10,0,0
2024-10-10 11:11:23,5.12,12.5,25.5,10,0,0
2024-10-10 11:11:24,5.12,12.8,25.5,10,0,0
2024-10-10 11:11:26,5.12,12.7,25.5,10,0,0
2024-10-10 11:11:29,5.12,12.6,25.5,10,0,0
2024-10-10 11:11:31,5.12,12.6,25.5,10,0,0
2024-10-10 11:11:34,5.12,12.8,25.5,10,0,0
2024-10-10 11:11:35,5.12,12.8,25.5,10,0,0
2024-10-10 11:11:38,5.12,12.7,25.3,10,0,0
2024-10-10 11:11:40,5.12,12.6,25.4,10,0,0
2024-10-10 11:11:41,5.12,13,25.4,10,0,0
2024-10-10 11:11:44,5.12,12.8,25.5,10,0,0
2024-10-10 11:11:47,5.12,12.7,25.5,10,0,0
2024-10-10 11:11:49,5.12,12.7,25.5,10,0,0
2024-10-10 11:11:50,5.12,12.7,25.5,10,0,0
2024-10-10 11:11:52,5.12,12.7,25.5,10,0,0
2024-10-10 11:11:53,5.12,12.6,25.5,10,0,0
2024-10-10 11:11:55,5.12,12.9,25.5,10,0,0
2024-10-10 11:11:58,5.12,12.8,25.5,10,0,0
2024-10-10 11:12:01,5.12,12.7,25.5,10,0,0
2024-10-10 11:12:03,5.12,12.6,25.5,10,0,0
2024-10-10 11:12:05,5.12,12.6,25.5,10,0,0
2024-10-10 11:12:07,5.12,13,25.5,10,0,0
2024-10-10 11:12:10,5.12,12.6,25.4,10,0,0
2024-10-10 11:12:12,5.12,12.7,25.4,10,0,0
2024-10-10 11:12:15,5.12,12.9,25.5,10,0,0
2024-10-10 11:12:17,5.12,12.7,25.4,10,0,0
2024-10-10 11:12:18,5.12,12.8,25.4,10,0,0
2024-10-10 11:12:21,5.12,12.5,25.4,10,0,0
2024-10-10 11:12:22,5.12,12.6,25.4,10,0,0
2024-10-10 11:12:25,5.12,12.8,25.4,10,0,0
2024-10-10 11:12:27,5.12,12.8,25.4,10,0,0
2024-10-10 11:12:29,5.12,13,25.4,10,0,0
2024-10-10 11:12:32,5.12,12.6,25.4,10,0,0
2024-10-10 11:12:33,5.12,12.7,25.4,10,0,0
2024-10-10 11:12:36,5.12,12.8,25.4,10,0,0
2024-10-10 11:12:38,5.12,13.1,25.3,10,0,0
2024-10-10 11:12:41,5.12,12.8,25.3,10,0,0
2024-10-10 11:12:43,5.12,13.2,25.3,10,0,0
2024-10-10 11:12:46,5.12,13.1,25.3,10,0,0
2024-10-10 11:12:48,5.12,12.8,25.3,10,0,0
2024-10-10 11:12:51,5.12,12.7,25.4,10,0,0
2024-10-10 11:12:54,5.12,12.9,25.3,9,0,0
2024-10-10 11:12:56,5.12,12.9,25.3,10,0,0
2024-10-10 11:12:58,5.12,12.7,25.3,10,0,0
2024-10-10 11:13:01,5.12,12.8,25.4,10,0,0
2024-10-10 11:13:04,5.12,13,25,10,0,0
2024-10-10 11:13:06,5.12,12.7,25.2,10,0,0
2024-10-10 11:13:09,5.12,12.9,25.4,10,0,0
2024-10-10 11:13:10,5.12,12.6,25.4,10,0,0
2024-10-10 11:13:12,5.12,13.1,25.3,10,0,0
2024-10-10 11:13:15,5.12,12.9,25.2,10,0,0
2024-10-10 11:13:18,5.12,12.8,25.2,10,0,0
2024-10-10 11:13:19,5.12,12.8,25.2,10,0,0
2024-10-10 11:13:21,5.12,13.4,25.3,10,0,0
2024-10-10 11:13:24,5.12,13,25.3,10,0,0
2024-10-10 11:13:27,5.12,12.9,25.2,9,0,0
2024-10-10 11:13:29,5.12,12.6,25.4,10,0,0
2024-10-10 11:13:30,5.12,12.8,25.4,10,0,0
2024-10-10 11:13:33,5.12,12.7,25.2,10,0,0
2024-10-10 11:13:35,5.12,12.6,25.1,10,0,0
2024-10-10 11:13:38,5.12,12.7,25.4,10,0,0
2024-10-10 11:13:39,5.12,12.7,25.4,10,0,0
2024-10-10 11:13:42,5.12,13.1,25.2,10,0,0
2024-10-10 11:13:45,5.12,12.9,25.1,10,0,0
2024-10-10 11:13:46,5.12,12.8,25.1,10,0,0
2024-10-10 11:13:48,5.12,12.7,25.1,10,0,0
2024-10-10 11:13:51,5.12,12.8,25.1,10,0,0
